# 青空文庫に出現する外字注記とUCSの対応一覧
# 
# ※ 括弧が対応していない等、極端に間違えているものは除外した。
# ※ 注記辞書にない注記でも、「／・＋」等を間違えている程度のものは採集して記載した。
# ※ 「－・-」は「－」に、「+」は「＋」に、「<」は「＜」に統一した。
# ※［…］の前後の「」の括弧の抜けは補完した。
# ※ IVSで表記可能なものは、Adobe-Japan1 を優先し、無いものに限り汎用電子も使用した。
# ※ 注記辞書の記法から逸れている表記には念のため「標準注記外」とコメントに付記した。
################################
# AozoraEpub3 Modified
#
# http://kanji-database.sourceforge.net/aozora/gaiji.html
# https://github.com/cjkvi/cjkvi-data/blob/master/aozora_gaiji_chuki.txt
# 上記から取得後以下の変換を行った
# 注記内 － を － に変換
# ・IVS文字は chuki_ivs.txt に移動
# ・2文字以上は濁点半濁点以外コメントアウト
# ・※で始まらない物はコメントアウトまたは読み込み時に除外
################################

#UCS	IVS	char	青空文庫記法	→コメント
U+051E2		凢	※［＃「丿／几」、第3水準1-14-56］
U+051E5		凥	※［＃「尸＋几」］
U+051EC		凬	※［＃「凪」の「止」に代えて「一／日」］
U+051EE		凮	※［＃「凪」の「止」に代えて「百」、第3水準1-14-57］
U+051F2		凲	※［＃「凪」の「止」に代えて「賺のつくり」］
U+051F3		凳	※［＃「登／几」、第4水準2-3-19］
U+051F4		凴	※［＃「馮／几」、第4水準2-3-20］
U+051F7		凷	※［＃「凵＜土」］
U+05201		刁	※［＃「刀」の「ノ」が横向き、第3水準1-14-58］
U+05202		刂	※［＃「りっとう」、第4水準2-3-21］
U+05205		刅	※［＃「梁－木－さんずい」］
U+034DB		㓛	※［＃「功のへん＋刀」、第3水準1-14-59］
U+05212		划	※［＃「戈＋りっとう」、第4水準2-3-22］
U+05213		刓	※［＃「頑のへん＋りっとう」、第3水準1-14-60］
U+05215		刕	※［＃「刀／（刀＋刀）」、第3水準1-14-61］
U+05216		刖	※［＃「月＋りっとう」、第4水準2-3-23］
U+05218		刘	※［＃「対のへん＋りっとう」］
U+0521C		刜	※［＃「弗＋りっとう」］
U+05222		刢	※［＃「令＋りっとう」］
U+05226		刦	※［＃「去＋りっとう」］
U+05228		刨	※［＃「鉋のつくり＋りっとう」］
U+05231		刱	※［＃「梁－木」の「さんずい」に代えて「井」］
U+05232		刲	※［＃「卦のへん＋りっとう」］
U+05235		刵	※［＃「取のへん＋りっとう」］
U+0523C		刼	※［＃「去＋刄」］
U+05245		剅	※［＃「頭のへん＋りっとう」］
U+05249		剉	※［＃「坐＋りっとう」、第3水準1-14-62］
U+05255		剕	※［＃「（緋－糸）＋りっとう」、第4水準2-3-25］
U+05257		剗	※［＃「戔＋りっとう」、第3水準1-14-63］
U+05258		剘	※［＃「其＋りっとう」］
U+0525A		剚	※［＃「事＋りっとう」］
U+0525C		剜	※［＃「宛＋りっとう」、第4水準2-3-26］
U+0525D		剝	※［＃「碌のつくり＋りっとう」、第3水準1-15-94］	→［包摂適用　剥］167
U+0525F		剟	※［＃「綴のつくり＋りっとう」］
U+05260		剠	※［＃「京＋りっとう」］
U+05261		剡	※［＃「炎＋りっとう」、第3水準1-14-64］
U+05266		剦	※［＃「奄＋りっとう」］
U+2074F		𠝏	※［＃「剣のへん＋刀」、第4水準2-3-24］
U+0526C		剬	※［＃「端のつくり＋りっとう」、第4水準2-3-27］
U+0526E		剮	※［＃「咼＋りっとう」］
U+034F8		㓸	※［＃「第4水準2-13-74」の「斤」に代えて「りっとう」］
U+05277		剷	※［＃「顏のへん＋りっとう」の「彡」に代えて「生」、第4水準2-3-28］
U+05278		剸	※［＃「專＋りっとう」］
U+05279		剹	※［＃「膠のつくり＋りっとう」］
U+05280		劀	※［＃「橘のつくり＋りっとう」］
U+05282		劂	※［＃「厥＋りっとう」、第4水準2-3-30］
U+05284		劄	※［＃「答＋りっとう」、第4水準2-3-29］
U+207C2		𠟂	※［＃「曾＋りっとう」］
U+05285		劅	※［＃「蜀＋りっとう」］
U+0528A		劊	※［＃「會＋りっとう」］
U+0528C		劌	※［＃「穢のつくり＋りっとう」］
U+05293		劓	※［＃「鼾のへん＋りっとう」、第3水準1-14-65］
U+20807		𠠇	※［＃「劉」の「金」に代えて「亞」、第4水準2-3-31］
U+05295		劕	※［＃「質＋りっとう」］
U+05296		劖	※［＃「纔のつくり＋りっとう」］
U+05297		劗	※［＃「贊＋りっとう」］
U+05298		劘	※［＃「靡＋りっとう」、第4水準2-3-32］
U+0529A		劚	※［＃「屬＋りっとう」］
U+0529C		劜	※［＃「力＋礼のつくり」］
U+0361E		㘞	※［＃「囗＜力」］
U+052A4		劤	※［＃「斤＋力」、第4水準2-3-34］
U+052A5		劥	※［＃「亢＋力」］
U+052A6		劦	※［＃「協のつくり」、第4水準2-3-35］
U+052A7		劧	※［＃「手＋力」］
U+2083A		𠠺	※［＃「元のにょうの形＋力」、第4水準2-3-33］
U+052AF		劯	※［＃「石＋力」、第4水準2-3-36］
U+052B0		劰	※［＃「白＋力」］
U+052B6		劶	※［＃「后＋力」］
U+052B7		劷	※［＃「翔のへん＋力」］
U+052B8		劸	※［＃「卦のへん＋力」］
U+052BA		劺	※［＃「牟＋力」、第4水準2-3-37］
U+052BB		劻	※［＃「匡＋力」、第4水準2-3-38］
U+052BD		劽	※［＃「列／力」］
U+052C0		勀	※［＃「兢」の「克」に代えて「力」］
U+052C4		勄	※［＃「誨のつくり＋力」］
U+052C6		勆	※［＃「螂－虫」の「おおざと」に代えて「力」］
U+052C8		勈	※［＃「甬＋力」、第3水準1-14-66］
U+052CA		勊	※［＃「尅」の「寸」に代えて「力」、第4水準2-3-39］
U+0351F		㔟	※［＃「（甥のへん＋丸）／力」、第4水準2-3-40］
U+052CC		勌	※［＃「卷＋力」、第3水準1-14-68］
U+052CF		勏	※［＃「倍のつくり＋力」］
U+052D0		勐	※［＃「孟＋力」、第3水準1-14-69］
U+052D1		勑	※［＃「來＋力」、第4水準2-3-41］
U+052D4		勔	※［＃「面＋力」］
U+052D6		勖	※［＃「瑁のつくり＋力」、第3水準1-14-70］
U+052DB		勛	※［＃「員＋力」、第3水準1-14-71］
U+052DC		勜	※［＃「鶲のへん＋力」］
U+052E1		勡	※［＃「票＋力」］
U+052E5		勥	※［＃「強／力」］
U+052E8		勨	※［＃「象＋力」］
U+052E9		勩	※［＃「貰＋力」］
U+052EA		勪	※［＃「喬＋力」］
U+052EC		勬	※［＃「縢のつくり＋力」］
U+052F0		勰	※［＃「協のつくり＋思」、第3水準1-14-73］
U+052F1		勱	※［＃「萬＋力」］
U+052F4		勴	※［＃「慮＋力」］
U+052F6		勶	※［＃「徹／力」］
U+208B9		𠢹	※［＃「廣＋力」、第4水準2-3-42］
U+052F7		勷	※［＃「襄＋力」、第4水準2-3-43］
U+052FB		勻	※［＃「勹＜二」、第3水準1-14-74］
U+05300		匀	※［＃「鈞のつくり」、第3水準1-14-75］
U+05303		匃	※［＃「曷－日」］
U+05304		匄	※［＃「勹＜亡」］
U+05307		匇	※［＃「勹＜夕」、第3水準1-14-76］
U+0530A		匊	※［＃「鞠のつくり」、第4水準2-3-44］
U+0530B		匋	※［＃「淘のつくり」、第4水準2-3-45］
U+0530C		匌	※［＃「勹＜合」］
U+05311		匑	※［＃「勹＜躬」］
U+05313		匓	※［＃「廏」の「广」に代えて「勹」］
U+05318		匘	※［＃「化のつくり＋瑙のつくり」］
U+0531B		匛	※［＃「匚＜畝のつくり」］
U+0531C		匜	※［＃「匚＜也」、第3水準1-14-77］
U+0531E		匞	※［＃「匚＜工」］
U+0531F		匟	※［＃「匚＜亢」］
U+05324		匤	※［＃「匚＜玉」、第4水準2-3-46］
U+05325		匥	※［＃「匚＜弁」］
U+05327		匧	※［＃「匚＜夾」］
U+05328		匨	※［＃「匚＜壯」］
U+05329		匩	※［＃「匚＜（艸のつくり／王）」］
U+0532B		匫	※［＃「匚＜（勿／日）」］
U+0532C		匬	※［＃「匚＜兪」］
U+0532D		匭	※［＃「匚＜軌」］
U+05330		匰	※［＃「匚＜單」］
U+05332		匲	※［＃「匚＜（大／品）」］
U+05335		匵	※［＃「匚＜續のつくり」、第4水準2-3-47］
U+0533C		匼	※［＃「匸＜合」］
U+0533D		匽	※［＃「偃のつくり」］
U+0533E		匾	※［＃「匸＜編のつくり」の「戸」に代えて「戸の旧字」、第4水準2-3-48］
U+05342		卂	※［＃「迅－しんにょう」、第4水準2-3-49］
U+2097C		𠥼	※［＃「斗」の「二つの丶」に代えて「十」、第4水準2-3-50］
U+0534C		卌	※［＃「冊－（上の一）」］
U+0534C		卌	※［＃「卅」で縦棒が四本］
U+0534C		卌	※［＃「卅」にさらに縦棒を一本付け加える］
U+0534B		卋	※［＃「十／廿」］
U+05350		卐	※［＃「卍」を左右反転したもの］
U+2099D		𠦝	※［＃「朝のへん」、第4水準2-3-51］
U+05359		卙	※［＃「甚＋十」］
U+0535B		卛	※［＃「戀」の「心」に代えて「十」］
U+05361		卡	※［＃「占」の「口」に代えて「下」、第3水準1-14-79］
U+05363		卣	※［＃「上／巨」の「匚」に代えて「凵」、第3水準1-14-80］
U+05365		卥	※［＃「占」の「口」の中に「夕」］
U+05367		卧	※［＃「臣＋卜」、第4水準2-3-52］
U+209E9		𠧩	※［＃「誨のつくり＋卜」］
U+0536C		卬	※［＃「昂－日」、第4水準2-3-53］
U+0536D		卭	※［＃「功のへん＋卩」］
U+05372		卲	※［＃「召＋卩」］
U+05379		卹	※［＃「衄のへん＋卩」］
U+0537A		卺	※［＃「丞／巳」］	→［包摂適用　※［＃「丞／犯のつくり」、第4水準2-3-54］］121
U+0537A		卺	※［＃「丞／犯のつくり」、第4水準2-3-54］
U+0537C		卼	※［＃「兀＋危」］
U+0537D		卽	※［＃「皀＋卩」、第3水準1-14-81］	→［包摂適用　即］153
U+0537E		卾	※［＃「咢＋卩」］
U+05383		厃	※［＃「危－犯のつくり」］
U+05387		厇	※［＃「厂＋托のつくり」］
U+05388		厈	※［＃「厂＋干」］
U+0538E		厎	※［＃「厂＋低のつくり」］
U+05393		厓	※［＃「涯のつくり」、第3水準1-14-82］
U+05394		厔	※［＃「厂＋至」］
U+05399		厙	※［＃「厂＋車」］
U+0539C		厜	※［＃「厂＋垂」］
U+0539D		厝	※［＃「厂＋昔」、第3水準1-14-83］
U+08652		虒	※［＃「褫のつくり」］
U+053A1		厡	※［＃「厂＋泉」］
U+053A4		厤	※［＃「櫪のつくり－止」、第4水準2-3-55］
U+053AA		厪	※［＃「厂＋槿のつくり」］
U+053AA		厪	※［＃非0213外字：「厂＋菫」］	→標準注記外
U+053AB		厫	※［＃「厂＋敖」］
U+053AF		厯	※［＃「暦」の「日」に代えて「心－丿」］
U+20AA9		𠪩	※［＃「厂＋黒」］
U+20AA9		𠪩	※［＃「厂＋（黨－尚）」］
U+03552		㕒	※［＃「厂＋義」］
U+053B2		厲	※［＃「厂＋萬」、第3水準1-14-84］
U+053B4		厴	※［＃「厂＋（厭－厂）／甲」、第4水準2-3-56］
U+053B5		厵	※［＃「原／（原＋原）」］
U+20AD3		𠫓	※［＃「充－儿」、第4水準2-3-57］
U+053B7		厷	※［＃「肱のつくり」、第4水準2-3-58］
U+053B8		厸	※［＃「厶＋厶」］
U+053BA		厺	※［＃「大／厶」］
U+053BD		厽	※［＃「參－珍のつくり」］
U+053C0		叀	※［＃「恵」の「心」に代えて「厶」、第4水準2-3-59］
U+053C5		叅	※［＃「參」の「彡」に代えて「恭－共」］
U+20B1D		𠬝	※［＃「報のつくり」、第4水準2-3-60］
U+053CF		叏	※［＃（「夬」の「人」に代えて「ぼう」）／又］
U+053D2		叒	※［＃「又／（又＋又）」］
U+0355D		㕝	※［＃「古／又」、第4水準2-3-61］
U+053D3		叓	※［＃「亠／中／又」］
U+0355E		㕞	※［＃「刷のへん＋又」、第4水準2-3-62］
U+053D5		叕	※［＃「綴のつくり」、第4水準2-3-63］
U+053DA		叚	※［＃「暇－日」、第4水準2-3-64］
U+053DD		叝	※［＃「去＋報のつくり」］
U+053DE		叞	※［＃「尉のへん＋又」］
U+053E0		叠	※［＃「桑」の「木」に代えて「冖／且」］
U+0FA0E		﨎	※［＃「（対のへん＋隹）／又」］
U+058E1		壡	※［＃「睿＋怪のつくり」］
U+03563		㕣	※［＃「八がしら／口」、第4水準2-3-65］
U+053E6		另	※［＃「口／力」］
U+053E7		叧	※［＃「拐のつくり」］
U+053F4		叴	※［＃「九／口」、第4水準2-3-66］
U+053F5		叵	※［＃「匚＜口」、第4水準2-3-67］
U+20B9F		𠮟	※［＃「口＋七」、第3水準1-47-52］	→［包摂適用　叱］78
U+05402		吂	※［＃「氓のへん／口」］
U+05412		吒	※［＃「咤－宀」、第3水準1-14-85］
U+05413		吓	※［＃「口＋下」］
U+0356E		㕮	※［＃「口＋（皎のつくり－亠）」、第4水準2-3-71］
U+0541A		吚	※［＃「口＋尹」］
U+0541E		吞	※［＃「呑」の「夭」に代えて「俣のつくり－口」、第3水準1-47-94］	→［包摂適用　呑］112
U+05421		吡	※［＃「口＋比」］
U+05424		吤	※［＃「口＋介」、第4水準2-3-69］
U+05427		吧	※［＃「口＋巴」、第3水準1-14-86］
U+05428		吨	※［＃「口＋屯」、第4水準2-3-70］
U+0542A		吪	※［＃「口＋（訛－言）」］
U+0542F		启	※［＃「戸の旧字＋口」］
U+05431		吱	※［＃「口＋支」］
U+05433		吳	※［＃「蜈のつくり」］	→［包摂適用　呉］48
U+05434		吴	※［＃「俣のつくり」］
U+05435		吵	※［＃「口＋少」］
U+0543F		吿	※［＃「晧のつくり」］	→［包摂適用　告］42
U+05443		呃	※［＃「口＋厄」、第4水準2-3-72］
U+05444		呄	※［＃「乃／古」］
U+05447		呇	※［＃「水／口」］
U+0544C		呌	※［＃「口＋斗」］
U+0544D		呍	※［＃「口＋云」、第3水準1-14-87］
U+0544F		呏	※［＃「口＋升」］
U+05455		呕	※［＃「口＋区」、第4水準2-3-68］
U+0545E		呞	※［＃「口＋司」］
U+05462		呢	※［＃「口＋尼」、第4水準2-3-73］
U+05464		呤	※［＃「口＋令」］
U+05466		呦	※［＃「口＋幼」、第4水準2-3-74］
U+05467		呧	※［＃「口＋低のつくり」］
U+05469		呩	※［＃「口＋示」］
U+0546B		呫	※［＃「口＋占」、第3水準1-14-89］
U+0546C		呬	※［＃「口＋駟のつくり」、第4水準2-3-75］
U+0546D		呭	※［＃「口＋世」］
U+0546E		呮	※［＃「口＋只」］
U+05474		呴	※［＃「口＋句」、第3水準1-14-90］
U+0547F		呿	※［＃「口＋去」、第3水準1-14-91］
U+05481		咁	※［＃「口＋甘」］
U+05483		咃	※［＃「口＋他」］
U+05485		咅	※［＃「倍のつくり」］
U+05488		咈	※［＃「口＋弗」、第3水準1-14-92］
U+05489		咉	※［＃「口＋央」］
U+0548A		咊	※［＃「口＋禾」、第4水準2-3-76］
U+0548D		咍	※［＃「口＋台」、第4水準2-3-77］
U+05491		咑	※［＃「口＋打」］
U+05495		咕	※［＃「口＋古」、第4水準2-3-78］
U+05496		咖	※［＃「口＋加」、第3水準1-14-93］
U+0549C		咜	※［＃「口＋它」、第3水準1-14-88］
U+0549F		咟	※［＃「口＋百」］
U+054A0		咠	※［＃「楫のつくり」、第4水準2-3-79］
U+054A1		咡	※［＃「口＋耳」、第3水準1-14-94］
U+054A6		咦	※［＃「口＋夷」、第4水準2-3-80］
U+054A7		咧	※［＃「口＋列」］
U+054A9		咩	※［＃「口＋羊」、第3水準1-15-1］
U+054AA		咪	※［＃「口＋米」］
U+054AD		咭	※［＃「口＋吉」、第4水準2-3-81］
U+054AE		咮	※［＃「口＋朱」、第4水準2-3-82］
U+054B1		咱	※［＃「口＋自」］
U+054B7		咷	※［＃「口＋兆」、第4水準2-3-83］
U+054B9		咹	※［＃「口＋安」］
U+054BA		咺	※［＃「口＋亘」、第4水準2-3-84］
U+054BB		咻	※［＃「口＋休」］
U+054BF		咿	※［＃「口＋伊」、第4水準2-3-85］
U+054C3		哃	※［＃「口＋同」、第4水準2-3-86］
U+054C6		哆	※［＃「口＋多」、第3水準1-15-2］
U+054CA		哊	※［＃「口＋有」］
U+054CB		哋	※［＃「口＋地」］
U+054CD		响	※［＃「口＋向」］
U+054CE		哎	※［＃「口＋艾」］
U+054E0		哠	※［＃「口＋晧のつくり」］
U+054E4		哤	※［＃「口＋尨」］
U+054EA		哪	※［＃「口＋那」の「二」に代えて「はみ出た横棒二本」］
U+054EA		哪	※［＃「口＋那」］
U+054EC		哬	※［＃「口＋何」、第4水準2-3-88］
U+054EF		哯	※［＃「口＋見」、第4水準2-3-89］
U+054F1		哱	※［＃「口＋孛」、第4水準2-3-90］
U+054F3		哳	※［＃「口＋折」、第4水準2-3-91］
U+054F6		哶	※［＃「口＋（くさかんむり／干）」］
U+054FC		哼	※［＃「口＋亨」］
U+054FE		哾	※［＃「口＋兌」］
U+054FF		哿	※［＃「加／可」、第3水準1-15-3］
U+05500		唀	※［＃「口＋秀」、第4水準2-3-92］
U+05501		唁	※［＃「口＋言」、第4水準2-3-93］
U+05505		唅	※［＃「口＋含」］
U+05508		唈	※［＃「口＋邑」］
U+05509		唉	※［＃「口＋矣」、第4水準2-3-94］
U+0550C		唌	※［＃「蜒」の「虫」に代えて「口」］
U+0550D		唍	※［＃「口＋完」］
U+0550E		唎	※［＃「口＋利」、第3水準1-15-4］
U+05515		唕	※［＃「口＋（白／十）」］
U+05527		唧	※［＃「口＋即」］
U+035A6		㖦	※［＃「口＋東」、第4水準2-4-3］
U+035A8		㖨	※［＃「口＋碌のつくり」、第4水準2-4-6］
U+035AD		㖭	※［＃「口＋恭」の「共」に代えて「俣のつくり－口」］
U+035AD		㖭	※［＃「添」のさんずいに代えて「口」］
U+0552A		唪	※［＃「口＋奉」］
U+0552B		唫	※［＃「口＋金」、第3水準1-15-5］
U+05532		唲	※［＃「口＋兒」］
U+05535		唵	※［＃「口＋奄」、第3水準1-15-6］
U+05536		唶	※［＃「口＋昔」］
U+0553B		唻	※［＃「口＋來」］
U+0553C		唼	※［＃「口＋妾」、第4水準2-4-1］
U+0553D		唽	※［＃「口＋析」］
U+05541		啁	※［＃「口＋蜩のつくり」、第4水準2-4-2］
U+05547		啇	※［＃「滴のつくり」、第4水準2-4-4］
U+05549		啉	※［＃「口＋林」］
U+0554A		啊	※［＃「口＋阿」、第4水準2-4-5］
U+0554D		啍	※［＃「口＋享」］
U+05550		啐	※［＃「口＋卒」、第3水準1-15-7］
U+05551		啑	※［＃「口＋捷のつくり」］
U+05551		啑	※［＃「口＋睫のつくり」］
U+05558		啘	※［＃「口＋宛」］
U+0555A		啚	※［＃「鄙のへん」］
U+0555B		啛	※［＃「口＋妻」］
U+0555E		啞	※［＃「口＋亞」、第3水準1-15-8］	→［78互換包摂唖］
U+05560		啠	※［＃「（斤＋斤）／口」、第4水準2-4-7］
U+05561		啡	※［＃「口＋非」、第4水準2-4-8］
U+05564		啤	※［＃「口＋婢のつくり」、第4水準2-4-9］
U+05566		啦	※［＃「口＋拉」］
U+20D45		𠵅	※［＃「口＋椛のつくり」、第4水準2-3-87］
U+035C5		㗅	※［＃「口＋胡」、第4水準2-4-15］
U+0557D		啽	※［＃「口＋（合／廾）」、第4水準2-4-11］
U+0557F		啿	※［＃「口＋甚」］
U+05581		喁	※［＃「口＋禺」、第3水準1-15-9］
U+05582		喂	※［＃「口＋畏」、第4水準2-4-12］
U+05586		喆	※［＃「吉＋吉」、第3水準1-15-10］
U+05588		喈	※［＃「口＋皆」、第4水準2-4-13］
U+0558E		喎	※［＃「口＋咼」、第3水準1-15-11］
U+0558F		喏	※［＃「口＋若」］
U+05591		喑	※［＃「口＋音」、第4水準2-4-14］
U+05592		喒	※［＃「口＋（夂＋占－口）／日」］
U+05593		喓	※［＃「口＋（襾／女）」］
U+05594		喔	※［＃「口＋屋」］
U+05597		喗	※［＃「口＋軍」］
U+055A3		喣	※［＃「煦」の「日」に代えて「口」］
U+055A4		喤	※［＃「口＋皇」］
U+055AD		喭	※［＃「口＋顏のへん」、第3水準1-15-13］
U+055B2		喲	※［＃「口＋糸＋（勹＜一）」］
U+055BC		喼	※［＃「口＋急」］
U+055BC		喼	※［＃「口＋（危－厄）／（帚－冖－巾）／心」］
U+20DE1		𠷡	※［＃「百／合」、第4水準2-4-10］
U+20DE9		𠷩	※［＃「口＋姜」］
U+035D9		㗙	※［＃「口＋芻」］
U+035DA		㗚	※［＃「口＋栗」、第4水準2-4-24］
U+055BF		喿	※［＃「操のつくり」、第4水準2-4-19］
U+055C1		嗁	※［＃「口＋褫のつくり」］
U+055C3		嗃	※［＃「口＋高」］
U+055C6		嗆	※［＃「口＋倉」］
U+055C9		嗉	※［＃「口＋素」、第4水準2-4-20］
U+055CB		嗋	※［＃「口＋脅」］
U+055CC		嗌	※［＃「口＋縊のつくり」、第4水準2-4-21］
U+055CE		嗎	※［＃「口＋馬」、第3水準1-15-14］
U+055D1		嗑	※［＃「口＋盍」、第4水準2-4-22］
U+055D2		嗒	※［＃「口＋荅」、第4水準2-4-16］
U+055D3		嗓	※［＃「口＋桑」］
U+055D7		嗗	※［＃「口＋骨」］
U+055D8		嗘	※［＃「口＋奚」］
U+055DB		嗛	※［＃「口＋慊のつくり」］
U+055DD		嗝	※［＃「口＋鬲」、第4水準2-4-23］
U+055DE		嗞	※［＃「口＋茲」］
U+055E1		嗡	※［＃「口＋翁」］
U+055E2		嗢	※［＃「口＋慍のつくり」、第4水準2-4-25］
U+055E9		嗩	※［＃「口＋瑣のつくり」、第4水準2-4-27］
U+055EF		嗯	※［＃「口＋恩」］
U+20E64		𠹤	※［＃「口＋恚」、第4水準2-4-26］
U+20E6D		𠹭	※［＃「口＋哥」、第4水準2-4-18］
U+20E92		𠺒	※［＃「口＋息」］
U+20E95		𠺕	※［＃「口＋留」、第4水準2-4-17］
U+20E97		𠺗	※［＃「口＋迷」］
U+055F6		嗶	※［＃「口＋畢」］
U+055FF		嗿	※［＃「口＋貪」］
U+05605		嘅	※［＃「口＋（廐－广）」］
U+05607		嘇	※［＃「口＋參」、第4水準2-4-30］
